date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2016,クチコミ総合評価,2.62
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2017,クチコミ総合評価,2.64
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2018,クチコミ総合評価,2.67
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2019,クチコミ総合評価,2.69
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2020,クチコミ総合評価,2.79
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2021,クチコミ総合評価,2.81
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2022,クチコミ総合評価,2.88
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2023,クチコミ総合評価,2.99
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2024,クチコミ総合評価,3.06
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2025,クチコミ総合評価,3.21
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2016,待遇面の満足度,2.46
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2017,待遇面の満足度,2.37
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2018,待遇面の満足度,2.37
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2019,待遇面の満足度,2.36
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2020,待遇面の満足度,2.42
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2021,待遇面の満足度,2.42
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2022,待遇面の満足度,2.51
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2023,待遇面の満足度,2.44
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2024,待遇面の満足度,2.41
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2025,待遇面の満足度,2.33
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2016,社員の士気,2.39
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2017,社員の士気,2.41
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2018,社員の士気,2.44
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2019,社員の士気,2.5
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2020,社員の士気,2.6
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2021,社員の士気,2.6
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2022,社員の士気,2.65
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2023,社員の士気,2.7
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2024,社員の士気,2.82
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2025,社員の士気,2.83
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2016,風通しの良さ,2.69
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2017,風通しの良さ,2.77
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2018,風通しの良さ,2.81
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2019,風通しの良さ,2.86
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2020,風通しの良さ,2.98
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2021,風通しの良さ,2.98
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2022,風通しの良さ,3.16
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2023,風通しの良さ,3.42
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2024,風通しの良さ,3.34
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2025,風通しの良さ,3.32
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2016,社員の相互尊重,2.59
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2017,社員の相互尊重,2.61
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2018,社員の相互尊重,2.68
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2019,社員の相互尊重,2.68
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2020,社員の相互尊重,2.79
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2021,社員の相互尊重,2.86
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2022,社員の相互尊重,2.86
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2023,社員の相互尊重,3
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2024,社員の相互尊重,3.23
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2025,社員の相互尊重,3.32
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2016,20代成長環境,2.82
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2017,20代成長環境,2.7
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2018,20代成長環境,2.62
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2019,20代成長環境,2.54
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2020,20代成長環境,2.62
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2021,20代成長環境,2.77
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2022,20代成長環境,2.78
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2023,20代成長環境,2.89
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2024,20代成長環境,3.12
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2025,20代成長環境,3.88
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2016,人材の長期育成,2.31
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2017,人材の長期育成,2.38
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2018,人材の長期育成,2.44
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2019,人材の長期育成,2.5
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2020,人材の長期育成,2.6
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2021,人材の長期育成,2.6
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2022,人材の長期育成,2.62
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2023,人材の長期育成,2.63
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2024,人材の長期育成,2.65
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2025,人材の長期育成,2.83
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2016,法令順守意識,3.14
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2017,法令順守意識,3.26
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2018,法令順守意識,3.31
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2019,法令順守意識,3.37
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2020,法令順守意識,3.43
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2021,法令順守意識,3.39
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2022,法令順守意識,3.47
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2023,法令順守意識,3.61
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2024,法令順守意識,3.63
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2025,法令順守意識,3.76
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2016,人事評価の適正感,2.51
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2017,人事評価の適正感,2.51
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2018,人事評価の適正感,2.57
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2019,人事評価の適正感,2.59
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2020,人事評価の適正感,2.74
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2021,人事評価の適正感,2.74
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2022,人事評価の適正感,2.76
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2023,人事評価の適正感,2.85
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2024,人事評価の適正感,2.82
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2025,人事評価の適正感,2.67
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2016,有給休暇消化率,48.52
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2017,有給休暇消化率,50.44
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2018,有給休暇消化率,51.08
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2019,有給休暇消化率,52.97
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2020,有給休暇消化率,56.32
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2021,有給休暇消化率,57.79
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2022,有給休暇消化率,57.97
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2023,有給休暇消化率,56.11
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2024,有給休暇消化率,56.18
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2025,有給休暇消化率,51.67
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2016,残業時間(月間),24.38
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2017,残業時間(月間),24.67
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2018,残業時間(月間),25.14
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2019,残業時間(月間),24.45
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2020,残業時間(月間),20.55
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2021,残業時間(月間),20.95
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2022,残業時間(月間),21.65
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2023,残業時間(月間),23.07
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2024,残業時間(月間),20
2025/6/30,ＴＯＹＯ　ＴＩＲＥ,5105,TOPIX Mid400,a0910000000FrBH,2025,残業時間(月間),21.67
